dis,sign,add,totalm2,zone,tradeymd,tradef,totalf,state,mainuse,mater,comy,totalbm2,room,hall,health,sep,org,tp,unitp,parkcat,parkm2,parkp,mainbm2,auxbm2,balm2,ele,建物,房地(土地+建物),房地(土地+建物)+車位,住,其他都市土地使用分區,商,住商用,住家用,其他主要用途,商業用,工業用,辦公用,磚造,鋼筋混凝土造,鋼骨造,其他車位類別,坡道平面,機械車位,無車位,tradeyr,buildyr,age,住宅大樓(11層含以上有電梯),公寓(5樓含以下無電梯),華廈(10層含以下有電梯),透天厝,year_average_cpi,year_increase_cpi,med,lat,lng,park_d,park_q,mu_d,mu_q,lib_d,lib_q,mrt_d,mrt_q,edu_d,edu_q,fire_d,fire_q,dead_d,dead_q,pol_d,pol_q,post_d,post_q,hosp_d,hosp_q,fin_d,fin_q
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路３１６巷５６號六樓,56.75,其他都市土地使用分區,1111005,6,11,住宅大樓(11層含以上有電梯),辦公用,鋼骨造,960215,483.15,0,0,0,0,1,80000000,178307,坡道平面,64.77,5400000,214.98,8.23,0.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,111,96,15,1,0,0,0,107.12,0.0,593000,25.0760037,121.5730155,1,15,1,0,1,1,1,4,1,5,1,0,1,0,1,2,1,3,1,92,1,49
北投區,房地(土地+建物),臺北市北投區民族街４３巷２６號二樓,30.4,住,1111003,2,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661214,102.12,3,2,2,1,0,10500000,102820,無車位,0.0,0,89.78,0.0,12.34,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,66,45,0,1,0,0,107.12,0.0,526000,25.134089,121.506216,1,33,1,0,1,2,1,4,1,10,1,1,1,0,1,4,1,3,1,100,1,15
大安區,房地(土地+建物),臺北市大安區永康街４巷２之２號,29.5,住,1111006,3,4,公寓(5樓含以下無電梯),住家用,磚造,580725,72.75,2,1,1,1,0,21200000,291409,無車位,0.0,0,72.75,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,111,58,53,0,1,0,0,107.12,0.0,704000,25.032871,121.529707,1,15,1,1,1,3,1,22,1,9,1,1,1,0,1,4,1,8,1,167,1,59
士林區,房地(土地+建物),臺北市士林區延平北路六段１１６巷２弄８號三樓,31.1,住,1111003,3,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701231,74.97,3,1,2,1,0,7500000,100040,無車位,0.0,0,65.52,0.0,9.45,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,70,41,0,1,0,0,107.12,0.0,527000,25.0893014,121.5081975,1,13,1,0,1,1,1,0,1,4,1,0,1,0,1,1,1,2,1,70,1,6
大同區,房地(土地+建物),臺北市大同區寧夏路１６號,5.8,商,1110923,100,3,透天厝,住家用,磚造,830101,12.21,3,3,3,1,0,4000000,327600,無車位,0.0,0,12.2,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,111,83,28,0,0,0,1,107.12,0.0,484000,25.0547484,121.5147936,1,23,1,2,1,3,1,25,1,14,1,4,1,0,1,10,1,8,1,207,1,86
大同區,房地(土地+建物),臺北市大同區南京西路４３６號十樓之３,4.52,其他都市土地使用分區,1110913,10,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670815,54.010000000000005,0,0,0,0,1,11500000,212924,無車位,0.0,0,45.06,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,111,67,44,1,0,0,0,107.12,0.0,484000,25.0532707,121.5088679,1,15,1,1,1,2,1,3,1,8,1,2,1,0,1,5,1,4,1,102,1,66
萬華區,房地(土地+建物),臺北市萬華區西園路一段１３５號,14.5,商,1110913,1,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,590205,54.99,0,0,0,0,0,7000000,127296,無車位,0.0,0,54.99,0.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,111,59,52,0,1,0,0,107.12,0.0,446000,25.0377228,121.499711,1,21,1,0,1,3,1,6,1,13,1,1,1,0,1,7,1,6,1,145,1,31
中山區,房地(土地+建物),臺北市中山區新生北路三段８４巷６號六樓之２,15.9,商,1110909,6,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,670519,96.14,3,2,2,1,1,16300000,169544,無車位,0.0,0,74.69,0.0,5.3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,111,67,44,0,0,1,0,107.12,0.0,567000,25.0673916,121.5272726,1,21,1,1,1,2,1,16,1,3,1,3,1,1,1,3,1,4,1,113,1,33
中山區,房地(土地+建物)+車位,臺北市中山區民生東路二段１１５巷１０號五樓,27.03,住,1110925,5,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101201,193.24,3,2,2,1,1,47500000,285604,坡道平面,37.43,3000000,92.46,6.24,11.28,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,110,1,1,0,0,0,107.12,0.0,567000,25.0585662,121.5314637,1,29,1,0,1,2,1,16,1,9,1,2,1,1,1,3,1,5,1,253,1,120
中山區,房地(土地+建物),臺北市中山區長春路１００號九樓之１０,5.6,商,1110906,9,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,640626,45.06,1,1,1,1,1,9500000,210830,無車位,0.0,0,33.33,0.0,3.22,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,64,47,1,0,0,0,107.12,0.0,567000,25.0547762,121.5279422,1,26,1,0,1,2,1,24,1,9,1,3,1,0,1,5,1,6,1,250,1,131
中山區,房地(土地+建物),臺北市中山區德惠街５２號十樓之１０,2.71,商,1110907,10,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,710227,29.63,1,1,1,1,1,5000000,168748,無車位,0.0,0,21.86,0.0,3.59,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,71,40,1,0,0,0,107.12,0.0,567000,25.06656,121.5271,1,20,1,1,1,2,1,18,1,5,1,2,1,1,1,3,1,5,1,129,1,40
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路７６巷４５號六樓,53.04,其他都市土地使用分區,1110930,6,7,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,880728,285.04,0,0,0,0,1,34580000,121316,坡道平面,0.0,0,155.98,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,111,88,23,0,0,1,0,107.12,0.0,593000,25.0704432,121.5807023,1,13,1,1,1,2,1,1,1,3,1,3,1,0,1,2,1,5,1,54,1,23
